,x,y,z,cluster
253,-3105.3494,1576.45,-1072.3893,0
254,-3370.35,1378.1959,-1159.5999,0
255,-3430.0261,1406.0293,-1114.5973,0
256,-3393.0608,1427.0833,-1086.4252,0
257,-3288.3433,1465.9261,-1068.4229,0
258,-2182.5706,1758.809,-1081.6152,0
259,-3564.1443,1359.1749,-1086.3495,0
260,-3735.3958,1369.7208,-995.4462,0
261,-3220.181,1468.6154,-1033.2898,0
262,-2931.4666,1553.1136,-1091.7316,0
263,-2804.1116,1524.8856,-996.1711,0
264,-3169.7944,1379.2234,-1076.1879,0
265,-3093.8276,1524.7092,-1096.2064,0
266,-3560.3176,1307.7688,-1109.7632,0
267,-3143.4065,1535.0216,-1022.0036,0
268,-3182.5493,1476.0587,-1072.7727,0
269,-3373.7725,1424.0221,-1064.1401,0
270,-3193.9636,1501.3335,-1105.2496,0
271,-3323.6675,1474.1097,-1029.8822,0
272,-2529.1226,1679.9427,-1100.8566,0
273,-3155.0715,1521.8105,-1060.097,0
274,-3443.328,1350.7894,-1040.4268,0
275,-2748.2258,1628.6108,-1122.527,0
276,-3294.7488,1392.4225,-1046.5155,0
277,-3590.6758,1367.417,-1057.3782,0
278,-3735.3142,1353.7079,-1050.3284,0
279,-3122.8435,1602.2428,-1074.0334,0
280,-2741.8333,1636.8953,-1065.6447,0
281,-3284.6301,1492.1205,-1105.3685,0
282,-4107.374,1250.2505,-1034.6173,0
283,-2614.2385,1665.5789,-1106.604,0
284,-2728.5193,1688.5956,-1086.5079,0
285,-3097.0027,1573.4023,-1122.3834,0
286,-3134.688,1483.0677,-990.55774,0
287,-3926.8909,1278.3772,-1023.0075,0
288,-3529.4248,1390.7308,-1022.3283,0
289,-3125.2595,1469.3729,-1012.693,0
290,-2810.7666,1584.6552,-1010.31384,0
291,-3215.785,1387.1426,-1072.2616,0
292,-2866.9182,1512.5525,-1104.4054,0
293,-2831.0198,1549.4951,-1017.9767,0
294,-2903.7083,1560.8749,-1063.1812,0
295,-3301.7952,1352.2643,-1055.807,0
296,-2756.6343,1618.1166,-1033.855,0
297,-2953.907,1572.0662,-1065.2928,0
298,-3808.3164,1332.9752,-1046.6097,0
299,-3444.4304,1436.7838,-1088.9666,0
300,-3012.3792,1560.1931,-1149.7725,0
301,-3248.3594,1516.454,-1010.5202,0
302,-3007.6255,1536.6322,-1043.26,0
